band inj_mag n_realizations n_requested_per_realization mean_valid_recovered std_valid_recovered mean_det_eff std_det_eff
F200W 27.600000000000023 20 100 92.65 2.852053738328889 0.9265000000000001 0.028520537383288868
F200W 27.700000000000024 20 100 92.3 2.8302873203598033 0.923 0.02830287320359802
F200W 27.800000000000026 20 100 91.5 2.982404540317303 0.915 0.02982404540317301
F200W 27.900000000000027 20 100 91.1 2.8078836383147694 0.9109999999999999 0.02807883638314769
F200W 28.00000000000003 20 100 90.95 3.203205631205945 0.9094999999999999 0.03203205631205944
F200W 28.10000000000003 20 100 90.1 3.5673962198603175 0.901 0.03567396219860318
F200W 28.20000000000003 20 100 90.7 3.3419187681078633 0.907 0.03341918768107864
F200W 28.300000000000033 20 100 89.55 3.0517466957034367 0.8955000000000002 0.030517466957034375
F200W 28.400000000000034 20 100 89.4 3.03315017762062 0.8940000000000001 0.03033150177620621
F200W 28.500000000000036 20 100 88.1 3.354494235938909 0.881 0.0335449423593891
F200W 28.600000000000037 20 100 87.2 3.650522673463854 0.8720000000000001 0.03650522673463856
F200W 28.70000000000004 20 100 85.75 3.4773704523904114 0.8575000000000002 0.034773704523904124
F200W 28.80000000000004 20 100 85.45 3.203205631205945 0.8544999999999998 0.03203205631205946
F200W 28.90000000000004 20 100 83.05 4.186129980127984 0.8305 0.04186129980127983
F200W 29.000000000000043 20 100 80.55 3.300318963851509 0.8055 0.03300318963851507
F200W 29.100000000000044 20 100 77.0 3.2606102108912713 0.7699999999999999 0.03260610210891271
F200W 29.200000000000045 20 100 74.6 4.109040097920169 0.7460000000000001 0.0410904009792017
F200W 29.300000000000047 20 100 72.8 4.8839155990810665 0.728 0.04883915599081066
F200W 29.40000000000005 20 100 69.1 4.800219293236289 0.6910000000000001 0.048002192932362873
F200W 29.50000000000005 20 100 65.2 4.916138835776668 0.652 0.04916138835776669
F200W 29.60000000000005 20 100 62.65 5.640781954005276 0.6265 0.05640781954005276
F200W 29.700000000000053 20 100 56.05 5.853249210121629 0.5605 0.05853249210121628
F200W 29.800000000000054 20 100 55.4 5.374403271649402 0.554 0.05374403271649401
F200W 29.900000000000055 20 100 48.3 5.956862473342471 0.483 0.05956862473342472
F200W 30.000000000000057 20 100 45.8 5.094889079935117 0.458 0.050948890799351186
F200W 30.10000000000006 20 100 40.4 5.94182321833078 0.404 0.05941823218330779
F200W 30.20000000000006 20 100 34.6 5.25557348265429 0.346 0.0525557348265429
F200W 30.30000000000006 20 100 32.55 3.9132030224276426 0.3255 0.039132030224276436
F200W 30.400000000000063 20 100 26.5 4.223991626785959 0.265 0.0422399162678596
F200W 30.500000000000064 20 100 23.95 3.3635038122078655 0.23950000000000005 0.03363503812207865
F200W 30.600000000000065 20 100 21.1 3.9054617625765284 0.211 0.03905461762576529
F200W 30.700000000000067 20 100 16.7 4.0535884037934125 0.16699999999999998 0.040535884037934115
F200W 30.800000000000068 20 100 13.3 2.8302873203598033 0.133 0.02830287320359803
F200W 30.90000000000007 20 100 12.35 3.3915529745158586 0.12349999999999998 0.03391552974515859
F200W 31.00000000000007 20 100 11.5 3.332456024900364 0.11500000000000002 0.03332456024900364
F200W 31.100000000000072 20 100 8.05 2.3050288273114594 0.0805 0.023050288273114596
F200W 31.200000000000074 20 100 6.95 2.6650762801367183 0.0695 0.026650762801367186
F200W 31.300000000000075 20 100 6.15 2.207046132634963 0.06150000000000001 0.02207046132634963
F200W 31.400000000000077 20 100 6.5 2.2594829403858614 0.06500000000000002 0.022594829403858614
F200W 31.500000000000078 20 100 5.1 1.7740824166460338 0.05100000000000001 0.01774082416646034
F200W 31.60000000000008 20 100 4.8 1.9358120830939742 0.04800000000000001 0.019358120830939744
F200W 31.70000000000008 20 100 3.75 1.7129537431920892 0.03750000000000001 0.01712953743192089
F200W 31.800000000000082 20 100 3.55 1.394538218230416 0.03550000000000001 0.013945382182304159
F200W 31.900000000000084 20 100 3.9 2.149663376340339 0.039 0.021496633763403394
F200W 32.000000000000085 20 100 3.1 2.1001253095445223 0.031000000000000007 0.02100125309544522
F277W 26.0 20 100 96.0 2.1026299321513875 0.96 0.02102629932151386
F277W 26.1 20 100 95.6 2.036508880671192 0.9560000000000001 0.020365088806711906
F277W 26.200000000000003 20 100 96.5 2.013114894621608 0.9649999999999999 0.02013114894621609
F277W 26.300000000000004 20 100 96.7 2.0799797569865155 0.967 0.020799797569865153
F277W 26.400000000000006 20 100 96.25 1.5852942612451615 0.9625 0.015852942612451612
F277W 26.500000000000007 20 100 96.0 2.0261449005179113 0.96 0.020261449005179098
F277W 26.60000000000001 20 100 95.9 1.9439514830419644 0.959 0.01943951483041964
F277W 26.70000000000001 20 100 95.8 2.092593455122388 0.958 0.02092593455122387
F277W 26.80000000000001 20 100 96.6 2.3929721664644754 0.9659999999999999 0.02392972166464476
F277W 26.900000000000013 20 100 95.55 2.282081229238369 0.9555 0.022820812292383683
F277W 27.000000000000014 20 100 95.95 2.139232523470435 0.9594999999999999 0.021392325234704343
F277W 27.100000000000016 20 100 94.85 2.007223796297028 0.9484999999999999 0.020072237962970262
F277W 27.200000000000017 20 100 95.2 2.6872016358247004 0.9520000000000002 0.02687201635824699
